date_num	date	a	b	close	d	e	f	g	h	i
2008,730469	23-Sep-2008	461259	339971.09	9.61	87.92	9.30	13.90	89.09	13.59	8.88
2008,757568	3-Oct-2008	462183	339848.69	10.28	85.64	10.04	14.59	86.77	14.34	9.09
2008,784668	13-Oct-2008	465334	342821.91	11.72	87.24	10.58	16.03	88.40	14.88	9.35
2008,811768	23-Oct-2008	464363	342829.50	12.05	87.22	10.84	16.35	88.43	15.15	9.62
2008,838867	2-Nov-2008	465768	342818.59	10.27	85.73	10.87	14.58	86.71	15.20	9.93
2008,865967	11-Nov-2008	469660	343757.31	10.84	86.53	10.73	15.18	87.52	15.07	10.30
2008,893066	21-Nov-2008	473508	345052.19	9.39	87.23	10.38	13.76	88.16	14.74	10.64
2008,920166	1-Dec-2008	469751	340763.09	14.05	86.85	9.72	18.45	87.59	14.09	10.78
2008,947266	11-Dec-2008	476348	344780.69	9.27	85.95	8.73	13.64	86.58	13.10	10.65
2008,974365	21-Dec-2008	478144	346195.09	4.91	84.04	7.58	9.25	84.26	11.96	10.36
2009,001465	31-Dec-2008	484446	348691.91	6.14	86.26	6.51	10.53	86.23	10.88	10.09
2009,028565	10-Jan-2009	368297	265328.50	5.55	86.06	5.63	9.97	85.99	10.01	9.93
2009,055786	20-Jan-2009	475105	343304.91	5.60	85.20	4.97	9.91	85.26	9.36	9.87
2009,082886	30-Jan-2009	478423	344952.31	3.56	84.99	4.53	7.94	84.84	8.93	9.91
2009,110107	9-Feb-2009	481463	347044.50	2.53	85.93	4.35	6.99	85.64	8.76	10.10
2009,137207	19-Feb-2009	481081	346778.50	4.54	86.06	4.44	8.98	85.76	8.87	10.48
2009,164429	1-Mar-2009	477041	344127.09	4.86	86.63	4.69	9.30	86.41	9.14	10.96
2009,19165	10-Mar-2009	476608	343180.81	5.14	86.57	4.95	9.62	86.36	9.41	11.42
2009,21875	20-Mar-2009	476654	343032.19	6.22	85.90	5.06	10.70	85.63	9.53	11.73
2009,245972	30-Mar-2009	475373	342186.69	5.19	86.27	4.97	9.67	85.86	9.45	11.87
2009,273071	9-Apr-2009	478983	345650.69	4.89	86.66	4.72	9.38	86.30	9.20	11.89
2009,300293	19-Apr-2009	480783	346288.19	4.08	85.42	4.39	8.58	85.18	8.88	11.87
2009,327393	29-Apr-2009	463140	333436.19	3.64	84.39	4.05	8.14	84.13	8.55	11.88
2009,354614	9-May-2009	473448	341804.19	4.48	85.10	3.74	8.95	85.18	8.25	11.90
