museo	nazione	licenza	tipo	anno	nopere
Ars Electronica	austria	http://creativecommons.org/licenses/by-nc-nd/3.0/	VIDEO	2015	361
Ars Electronica	austria	http://creativecommons.org/licenses/by-nc-nd/3.0/	IMAGE	2015	670
Ars Electronica	austria	http://creativecommons.org/licenses/by-nc-nd/3.0/	SOUND	2015	151
Maison des Sciences de l'Homme-Alpes - UPMF - CNRS	france	http://creativecommons.org/licenses/by-nc-nd/3.0/	IMAGE	2015	770
Maison des Sciences de l'Homme-Alpes - UPMF - CNRS	france	http://creativecommons.org/licenses/by-nc-nd/3.0/	IMAGE	2014	406
Hungarian Open Air Museum	hungary	http://www.europeana.eu/rights/rr-f/	IMAGE	2015	7008
Hungarian Open Air Museum	hungary	http://www.europeana.eu/rights/rr-f/	IMAGE	2014	846
Hungarian Open Air Museum	hungary	http://creativecommons.org/publicdomain/mark/1.0/	IMAGE	2014	73181
Ταμείο Αρχαιολογικών Πόρων και Απαλλοτριώσεων Archaelogical Receipts Fund	greece	http://www.europeana.eu/rights/rr-f/	IMAGE	2015	1157
Museum Martena	netherlands	http://creativecommons.org/licenses/by-nc/3.0/nl/	IMAGE	2014	1141
Koç University Vehbi Koç Ankara Studies Research Center (VEKAM)	turkey	http://www.europeana.eu/rights/rr-f/	IMAGE	2015	1138
Museo Virtual del Seguro	spain	http://www.europeana.eu/rights/rr-f/	IMAGE	2016	1133
Mjøsmuseet	norway	http://creativecommons.org/licenses/by/3.0/	VIDEO	2015	1
Mjøsmuseet	norway	http://www.europeana.eu/rights/rr-f/	VIDEO	2013	1
Mjøsmuseet	norway	http://www.europeana.eu/rights/rr-f/	IMAGE	2014	916
Mjøsmuseet	norway	http://www.europeana.eu/rights/rr-f/	IMAGE	2016	203
Mjøsmuseet	norway	http://www.europeana.eu/rights/rr-f/	IMAGE	2015	2
